FechaObservacion,ValorObservado,NombreEstacion,Latitud,Longitud
3/31/2017 12:00,17.5,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
4/11/2017 12:00,22.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
9/10/2018 12:00,27.8,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
9/14/2017 12:00,25.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
10/11/2015 12:00,21.9,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
9/2/2018 12:00,26.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/15/2018 12:00,21.6,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
9/15/2017 12:00,26.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/24/2017 12:00,27.8,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
5/30/2018 12:00,19.9,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
7/9/2015 12:00,24.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
4/23/2016 12:00,26.9,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/25/2017 12:00,27.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
10/20/2017 12:00,27.4,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/17/2018 12:00,26.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/26/2015 12:00,27.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/25/2018 12:00,19.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
12/22/2018 12:00,21,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
5/22/2019 12:00,15.6,EL SILENCIO - AUT,4.600222222,-75.336
11/10/2018 12:00,23.89808,ESPERANZA LA  - AUT,4.45,-75.25
12/19/2017 12:00,26.3,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/3/2018 12:00,25.40145,ESPERANZA LA  - AUT,4.45,-75.25
4/5/2015 12:00,25.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/26/2017 12:00,23.3,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
11/6/2015 12:00,20.3,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
8/29/2015 12:00,29.9,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
10/6/2018 12:00,21.4,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
10/30/2017 12:00,22.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
10/9/2017 12:00,25.05424,ESPERANZA LA  - AUT,4.45,-75.25
10/19/2017 12:00,25.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
3/22/2017 12:00,20.9,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
8/20/2016 12:00,27.5,ESPERANZA LA  - AUT,4.45,-75.25
3/26/2015 12:00,18.4,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
7/4/2017 12:00,20.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
4/22/2017 12:00,20.2,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
7/6/2017 12:00,21.6,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
4/24/2019 12:00,16.6,EL SILENCIO - AUT,4.600222222,-75.336
